['price', 'hours', 'minute', 'seconds']  from C:\D-folder\data\weekdaywise-data\Thursday\2022-06-09
34943.0, 14, 50, 13
34940.5, 14, 50, 15
34940.4, 14, 50, 16
34941.4, 14, 50, 18
34943.6, 14, 50, 20
34944.3, 14, 50, 21
34942.35, 14, 50, 22
34944.5, 14, 50, 23
34942.1, 14, 50, 24
34940.95, 14, 50, 25
34942.25, 14, 50, 27
34946.2, 14, 50, 28
34945.2, 14, 50, 29
34946.8, 14, 50, 31
34947.4, 14, 50, 32
34946.4, 14, 50, 34
34948.05, 14, 50, 35
34951.65, 14, 50, 36
34950.0, 14, 50, 38
34952.3, 14, 50, 40
34953.4, 14, 50, 41
34952.95, 14, 50, 42
34952.95, 14, 50, 43
34951.4, 14, 50, 44
34951.4, 14, 50, 45
34948.05, 14, 50, 47
34943.65, 14, 50, 48
34947.1, 14, 50, 49
34947.35, 14, 50, 50
34943.3, 14, 50, 52
34942.5, 14, 50, 53
34941.8, 14, 50, 54
34941.4, 14, 50, 55
34947.7, 14, 50, 56
34945.4, 14, 50, 57
34947.55, 14, 50, 59
34941.35, 14, 51, 0
34940.0, 14, 51, 2
34941.65, 14, 51, 3
34945.6, 14, 51, 4
34945.35, 14, 51, 5
34948.8, 14, 51, 6
34943.3, 14, 51, 8
34947.8, 14, 51, 9
34942.75, 14, 51, 10
34940.45, 14, 51, 11
34941.1, 14, 51, 13
34937.5, 14, 51, 14
34937.85, 14, 51, 15
34939.75, 14, 51, 16
34941.05, 14, 51, 17
34945.4, 14, 51, 18
34945.4, 14, 51, 20
34948.3, 14, 51, 21
34948.3, 14, 51, 22
34945.5, 14, 51, 24
34946.85, 14, 51, 25
34946.05, 14, 51, 26
34945.8, 14, 51, 27
34950.25, 14, 51, 29
34948.3, 14, 51, 30
34947.15, 14, 51, 31
34949.05, 14, 51, 32
34948.6, 14, 51, 34
34951.4, 14, 51, 35
34948.05, 14, 51, 36
34946.55, 14, 51, 38
34946.4, 14, 51, 39
34946.6, 14, 51, 40
34944.65, 14, 51, 41
34944.65, 14, 51, 43
34945.75, 14, 51, 44
34943.1, 14, 51, 45
34942.6, 14, 51, 46
34945.0, 14, 51, 47
34946.6, 14, 51, 48
34942.85, 14, 51, 49
34942.7, 14, 51, 50
34942.6, 14, 51, 52
34942.1, 14, 51, 53
34944.05, 14, 51, 54
34941.85, 14, 51, 55
34941.05, 14, 51, 57
34944.2, 14, 51, 58
34944.1, 14, 51, 59
34945.15, 14, 52, 0
34945.15, 14, 52, 1
34942.35, 14, 52, 3
34944.55, 14, 52, 4
34941.25, 14, 52, 5
34940.0, 14, 52, 7
34941.05, 14, 52, 8
34941.05, 14, 52, 9
34942.5, 14, 52, 10
34940.75, 14, 52, 12
34941.05, 14, 52, 13
34940.95, 14, 52, 14
34940.1, 14, 52, 15
34939.4, 14, 52, 16
34939.3, 14, 52, 17
34939.35, 14, 52, 18
34939.35, 14, 52, 19
34939.05, 14, 52, 20
34938.75, 14, 52, 22
34939.75, 14, 52, 23
34937.8, 14, 52, 24
34937.85, 14, 52, 26
34938.7, 14, 52, 27
34938.7, 14, 52, 28
34946.5, 14, 52, 29
34944.1, 14, 52, 30
34944.1, 14, 52, 31
34947.8, 14, 52, 33
34950.3, 14, 52, 34
34949.05, 14, 52, 35
34952.8, 14, 52, 36
34952.8, 14, 52, 37
34957.1, 14, 52, 38
34957.65, 14, 52, 40
34957.65, 14, 52, 41
34960.95, 14, 52, 42
34961.5, 14, 52, 44
34956.9, 14, 52, 45
34955.3, 14, 52, 46
34958.1, 14, 52, 47
34961.9, 14, 52, 48
34961.9, 14, 52, 49
34959.95, 14, 52, 50
34958.3, 14, 52, 51
34959.6, 14, 52, 52
34958.75, 14, 52, 53
34961.0, 14, 52, 55
34959.05, 14, 52, 56
34958.7, 14, 52, 57
34961.25, 14, 52, 58
34962.65, 14, 52, 59
34961.9, 14, 53, 1
34961.75, 14, 53, 2
34962.3, 14, 53, 3
34963.05, 14, 53, 4
34961.05, 14, 53, 6
34961.75, 14, 53, 7
34965.35, 14, 53, 8
34965.5, 14, 53, 9
34965.5, 14, 53, 11
34966.15, 14, 53, 12
34971.5, 14, 53, 13
34971.95, 14, 53, 14
34973.15, 14, 53, 16
34974.3, 14, 53, 17
34974.8, 14, 53, 18
34976.35, 14, 53, 19
34971.55, 14, 53, 20
34976.45, 14, 53, 22
34974.25, 14, 53, 23
34975.15, 14, 53, 24
34975.2, 14, 53, 25
34977.0, 14, 53, 26
34979.1, 14, 53, 27
34976.6, 14, 53, 29
34977.05, 14, 53, 30
34974.05, 14, 53, 31
34977.05, 14, 53, 32
34974.5, 14, 53, 33
34974.15, 14, 53, 35
34970.75, 14, 53, 36
34968.0, 14, 53, 37
34971.5, 14, 53, 38
34972.4, 14, 53, 39
34970.15, 14, 53, 40
34970.15, 14, 53, 41
34972.95, 14, 53, 42
34970.25, 14, 53, 44
34964.85, 14, 53, 45
34964.9, 14, 53, 47
34962.65, 14, 53, 48
34963.6, 14, 53, 49
34960.1, 14, 53, 50
34963.45, 14, 53, 51
34965.15, 14, 53, 52
34963.65, 14, 53, 53
34965.05, 14, 53, 54
34963.4, 14, 53, 56
34961.1, 14, 53, 57
34964.5, 14, 53, 58
34965.1, 14, 53, 59
34964.4, 14, 54, 0
34962.3, 14, 54, 2
34957.6, 14, 54, 3
34961.6, 14, 54, 4
34959.7, 14, 54, 5
34962.55, 14, 54, 7
34962.85, 14, 54, 8
34960.9, 14, 54, 9
34960.1, 14, 54, 11
34956.95, 14, 54, 12
34958.35, 14, 54, 13
34960.05, 14, 54, 14
34961.3, 14, 54, 15
34960.6, 14, 54, 16
34960.5, 14, 54, 18
34960.7, 14, 54, 19
34956.8, 14, 54, 20
34956.8, 14, 54, 22
34958.8, 14, 54, 23
34959.85, 14, 54, 24
34959.3, 14, 54, 25
34959.1, 14, 54, 26
34958.8, 14, 54, 27
34958.95, 14, 54, 29
34958.15, 14, 54, 30
34957.65, 14, 54, 31
34956.8, 14, 54, 32
34959.55, 14, 54, 33
34959.85, 14, 54, 34
34959.3, 14, 54, 36
34960.65, 14, 54, 37
34960.85, 14, 54, 39
34959.25, 14, 54, 40
34960.25, 14, 54, 41
34958.9, 14, 54, 43
34958.75, 14, 54, 44
34959.2, 14, 54, 46
34957.85, 14, 54, 47
34957.7, 14, 54, 48
34957.7, 14, 54, 49
34957.5, 14, 54, 50
34957.75, 14, 54, 51
34958.65, 14, 54, 53
34959.7, 14, 54, 54
34959.7, 14, 54, 55
34960.15, 14, 54, 56
34961.45, 14, 54, 58
34960.0, 14, 54, 59
34959.6, 14, 55, 0
34958.75, 14, 55, 1
34958.5, 14, 55, 3
34959.1, 14, 55, 5
34959.4, 14, 55, 6
34959.9, 14, 55, 7
34959.3, 14, 55, 8
34959.3, 14, 55, 9
34960.3, 14, 55, 10
34960.6, 14, 55, 11
34960.5, 14, 55, 12
34960.75, 14, 55, 14
34960.75, 14, 55, 15
34960.75, 14, 55, 16
34966.45, 14, 55, 17
34967.9, 14, 55, 18
34968.6, 14, 55, 19
34966.9, 14, 55, 20
34968.6, 14, 55, 22
34969.3, 14, 55, 23
34969.5, 14, 55, 24
34966.95, 14, 55, 25
34969.2, 14, 55, 26
34971.9, 14, 55, 28
34977.0, 14, 55, 29
34969.9, 14, 55, 31
34971.4, 14, 55, 32
34975.45, 14, 55, 33
34975.45, 14, 55, 34
34972.6, 14, 55, 35
34972.85, 14, 55, 37
34973.05, 14, 55, 38
34974.7, 14, 55, 39
34973.85, 14, 55, 40
34974.85, 14, 55, 42
34975.5, 14, 55, 43
34977.45, 14, 55, 44
34977.2, 14, 55, 46
34973.5, 14, 55, 47
34975.3, 14, 55, 48
34975.0, 14, 55, 50
34974.95, 14, 55, 51
34976.4, 14, 55, 52
34975.8, 14, 55, 53
34975.1, 14, 55, 54
34975.1, 14, 55, 55
34971.8, 14, 55, 57
34972.0, 14, 55, 58
34970.75, 14, 55, 59
34971.65, 14, 56, 0
34971.95, 14, 56, 1
34971.2, 14, 56, 2
34971.7, 14, 56, 4
34970.25, 14, 56, 5
34972.15, 14, 56, 7
34972.85, 14, 56, 8
34972.5, 14, 56, 9
34972.05, 14, 56, 10
34972.15, 14, 56, 12
34972.45, 14, 56, 13
34972.5, 14, 56, 14
34973.3, 14, 56, 15
34973.5, 14, 56, 16
34973.5, 14, 56, 17
34972.75, 14, 56, 19
34972.6, 14, 56, 20
34973.95, 14, 56, 21
34973.1, 14, 56, 22
34976.05, 14, 56, 23
34975.4, 14, 56, 24
34976.0, 14, 56, 26
34975.2, 14, 56, 27
34973.85, 14, 56, 28
